"","Music Concept WT                                         ","หน้า   :        1"
"","สินค้าคงเหลือ แยกตามคลังสินค้า    ","ณ วันที่  24 พ.ค. 2569"
"","รหัสสินค้าจาก","001-01005-000     ","ถึง","VP-ADAPTOR-9V","วันที่ : 24/05/2569"
"","หมวดสินค้าจาก","                  ","ถึง","9999"
"","คลังสินค้าจาก","01                ","ถึง","06"
"","คลัง","","รหัสสินค้า","ชื่อสินค้า","","","","","","  จำนวน","","ราคาต่อหน่วย","","มูลค่าคงเหลือ","ยอดค้างรับ","ยอดค้างส่ง"
"","PL","","","","ล๊อตคงเหลือ","","  จำนวน","ราคาต่อหน่วย","มูลค่าในล๊อต"
"","01","คลังมิวสิกคอนเซพท์"
"","","","006-01008","EMG GUITAR PICKUP S SET","","","","","",2,"ชุด",,"",0.00,"           1"
"","","","006-01023","EMG GUITAR PICKUP ZW (ZAKK WYLDE)","","","","","",2,"ชุด",,"",0.00,"          20"
"","","","006-01026-BLK","EMG GUITAR PICKUP SA BLACK ( 1 ตัว )","","","","","",1,"ตัว",,"",0.00,"           6"
"","","","006-01026-WHT","EMG GUITAR PICKUP SA IVORY ( 1 ตัว )","","","","","",1,"ตัว",,"",0.00
"","","","006-01029-BLK","EMG GUITAR PICKUP 58 BLACK","","","","","",1,"ชุด",,"",0.00,"           1"
"","","","006-01030-BLK","EMG GUITAR PICKUP 91 BLACK","","","","","",3,"ชุด",,"",0.00
"","","","006-01032-GD","EMG GUITAR PICKUP 81 GOLD","","","","","",1,"ชุด",,"",0.00
"","","","006-01033-GD","EMG GUITAR PICKUP 85 GOLD","","","","","",1,"ชุด",,"",0.00
"","","","006-01051","EMG PICKUP MF SET BRUSHED BLACK CHROME","","","","","",1,"ชุด",,"",0.00,"           7"
"","","","006-01052-NBLK","EMG PICKUP SUPER 77-N RA-350C BLACK","","","","","",1,"ชุด",,"",0.00
"","Music Concept WT                                         ","หน้า   :        5"
"","สินค้าคงเหลือ แยกตามคลังสินค้า    ","ณ วันที่  24 พ.ค. 2569"
"","รหัสสินค้าจาก","001-01005-000     ","ถึง","VP-ADAPTOR-9V","วันที่ : 24/05/2569"
"","คลัง","","รหัสสินค้า","ชื่อสินค้า","","","","","","  จำนวน","","ราคาต่อหน่วย","","มูลค่าคงเหลือ","ยอดค้างรับ","ยอดค้างส่ง"
"","","","006-01053-BBLK","EMG PICKUP FAT 55-B RA-360A BLACK","","","","","",1,"เครื่อง",,"",0.00,"           2"
"","","","006-01060-BLK","EMG BASS PICKUP TA SET BLACK","","","","","",1,"ชุด",,"",0.00,"           3"
"","","","006-01062","EMG GUITAR PICKUP JIM ROOT SETZEBRA","","","","","",1,"ชุด",,"",0.00,"          14"
"","","","006-02003","EMG BASS PICKUP J SET","","","","","",2,"ชุด",,"",0.00,"           6"
"","","","006-02007","EMG BASS PICKUP 35P (5 STRING)","","","","","",1,"ชุด",,"",0.00
"","","","006-02010","EMG BASS PICKUP 35DC (4 STRING)","","","","","",1,"ชุด",,"",0.00,"           1"
"","","","006-02010-RED","EMG BASS PICKUP 35DC RED (4 STRING)","","","","","",1,"ตัว",,"",0.00,"           2"
"","","","006-02015","EMG BASS PICKUP 40P","","","","","",2,"ชุด",,"",0.00
"","","","006-02016","EMG BASS PICKUP P5J SET BLACK ( 5 STRING )","","","","","",1,"ชุด",,"",0.00
"","","","006-02029-BLK","EMG PICKUP BASS J5 SET BLACK","","","","","",1,"ชุด",,"",0.00,"           3"
"","","","006-02118","EMG BASS PICKUP MM-CS","","","","","",1,"ชุด",,"",0.00,"           1"
"","","","006-02121-BLK","EMG BASS PICKUP DE SET 4 STRING BLACK","","","","","",1,"ชุด",,"",0.00,"           3"
"","","","006-02123-RD","EMG BASS PICKUP FB SET RED","","","","","",1,"ชุด",,"",0.00,"           1"
"","","","006-03001","EMG CONTROL BTC CONTROL","","","","","",1,"ชุด",,"",0.00
"","","","006-03013","EMG BQC SYSTEM","","","","","",1,"ชุด",,"",0.00,"           4"
"","","","006-03016","EMG BQS CONTROL","","","","","",1,"ชุด",,"",0.00,"           1"
"","","","006-03019","EMG BQS SYSTEM ACTIVE","","","","","",1,"ชุด",,"",0.00,"           2"
"","","","006-03020","EMG 25KB ACTIVE TONE GUITAR LS (แกนยาว)","","","","","",3,"ชุด",,"",0.00
"","","","006-03021","EMG 25KB ACTIVE TONE GUITAR (แกนสั้น)","","","","","",6,"ชุด",,"",0.00
"","","","006-03025","EMG 25K CONTROL TONE SPL (แกนสั้น)","","","","","",5,"ชุด",,"",0.00,"           9","           1"
"","","","006-03026","EMG 25K CONTROL VOLUME LS (แกนยาว)","","","","","",5,"ชุด",,"",0.00,"           8","           3"
"","","","006-03027","EMG 25K CONTROL VOLUME SPL SI (แกนสั้น)","","","","","",4,"ชุด",,"",0.00,"          13"
"","","","006-03028","EMG 25K CONTROL PUSH/PULL LS SL (แกนยาว)","","","","","",2,"ชุด",,"",0.00
"","","","006-04002","EMG H4A PASSIVE GUITAR PICKUP","","","","","",2,"ตัว",,"",0.00,"           3"
"","","","007-11052-JPT","MM STRING RAY 5 H SPCL BLK PG GLD HDWE JACKPOT","","","","","",1,"ตัว",,"",0.00,"           2"
"","","","007-11059-66","MM BONGO 5 HH STEALTH BLK MATTE PG BM MATTE","","","","","",1,"ตัว",,"",0.00,"           1"
"","","","007-11061-CWB","MM SR II CORY WONG CHARCOAL BLUE ROASTED GLD HDWE","","","","","",1,"ตัว",,"",0.00,"           2"
"","","","007-31062","OLP GUITAR LUKE SIGNATURE BLUE","","","","","",1,"ตัว",,"",0.00
"","","","007-AL9-79-075224","HEADRUSH BOARD PCB (HEADRUSH PEDAL BOARD)","","","","","",3,"อัน",,"",0.00
"","","","007-B04237","MUSIC MAN JP12 STRAP BUTTON","","","","","",1,"ชุด",,"",0.00
"","","","007-DB185W","MUSIC MAN JP MAJESTY BRIDG","","","","","",1,"อัน",,"",0.00
"","","","007-M05167","MUSIC MAN STINGRAY HH KNOB CHROME","","","","","",1,"ตัว",,"",0.00
"","","","007-M05181","MUSIC MAN LOCKING TUNER G-D-A-E GUITAR CHOME","","","","","",3,"ชุด",,"",0.00
"","","","007-M05382","MUSIC MAN POTENTIOMETER 3EQ BASS","","","","","",2,"ตัว",,"",0.00
"","","","007-M05389","MUSIC MAN POTENTIOMETER VOL LUKE / JP PZO","","","","","",2,"อัน",,"",0.00
"","Music Concept WT                                         ","หน้า   :        6"
"","สินค้าคงเหลือ แยกตามคลังสินค้า    ","ณ วันที่  24 พ.ค. 2569"
"","รหัสสินค้าจาก","001-01005-000     ","ถึง","VP-ADAPTOR-9V","วันที่ : 24/05/2569"
"","คลัง","","รหัสสินค้า","ชื่อสินค้า","","","","","","  จำนวน","","ราคาต่อหน่วย","","มูลค่าคงเหลือ","ยอดค้างรับ","ยอดค้างส่ง"
"","","","007-M05402","MUSIC MAN PREAMP 3EQ SR","","","","","",1,"เครื่อง",,"",0.00
"","","","007-M05416","MUSIC MAN SWITCH 3-WAY PETRUCCI W/T CURCUITBOARD","","","","","",1,"อัน",,"",0.00
"","","","007-M05422","MUSIC MAN SWITCH PIEZO MODE ASSY-JP","","","","","",1,"ตัว",,"",0.00
"","","","007-M05437","MUSIC MAN PETURCCI TREMOLO ARM","","","","","",1,"อัน",,"",0.00
"","","","007-M05465","MUSIC MAN FR BRIDGE SADDLE A-B STRING","","","","","",2,"ตัว",,"",0.00
"","","","007-M05466","MUSIC MAN FR BRIDGE SADDLE D-G STRING","","","","","",4,"ตัว",,"",0.00
"","","","007-M05490","MUSIC MAN TREMOLO ARM WHITE TIP","","","","","",1,"อัน",,"",0.00
"","","","007-M05935","MUSIC MAN 9V BATTERY BOX STEVE LUKATHER","","","","","",1,"ตัว",,"",0.00
"","","","007-M06007","MUSIC  MAN 25K PUSH/PUSH VOLUME W/FLEX - 2019","","","","","",5,"ชิ้น",,"",0.00
"","","","007-M061000","MUSIC MAN MAJESTY HARNESS VERSION2 BATTERY BOX KIT","","","","","",1,"ชุด",,"",0.00
"","","","007-M07040","MUSIC MAN VINTAGE TREM ARM BLACK MATTE / BLACK TIP","","","","","",1,"ชิ้น",,"",0.00
"","","","007-MB343W","MUSIC MAN STINGRAY5 SADDLE FOR D STRING","","","","","",1,"ตัว",,"",0.00
"","","","007-MC302W","MUSIC MAN JACK FOR PETRUCCI PIEZO JACK ASSY","","","","","",38,"ชิ้น",,"",0.00
"","","","007-MC314W","MUSIC MAN 4-BAND TONE POT FOR BONGO","","","","","",3,"ตัว",,"",0.00
"","","","007-MC724Y","MUSIC MAN VALENTINE CONTROL 3-WAY ASSY WITH POT/SW","","","","","",1,"ชุด",,"",0.00
"","","","007-MC815W","MUSIC MAN POT 25K VOLUME PIEZO JOHN PETRUCCI","","","","","",1,"อัน",,"",0.00
"","","","007-MC837W","MUSIC MAN JP13 PCB VOLME","","","","","",2,"อัน",,"",0.00
"","","","007-MC850Y","MUSIC MAN LUKE IV HSS PRE-AMP ASSEMBLY","","","","","",1,"ชิ้น",,"",0.00
"","","","007-MD318W","MUSIC MAN SCREW #4x1/2" PHIL(10)","","","","","",11,"ตัว",,"",0.00
"","","","007-ME045W","MUSIC MAN COMPENSATED NUT JP6-JP7 (RIGHT) BLK","","","","","",1,"ตัว",,"",0.00
"","","","007-ME312W","MUSIC MAN BONGO VOLUME POT 2","","","","","",1,"ตัว",,"",0.00
"","","","007-RC007Y","MUSIC MAN BONGO V2 HH PRE-AMP","","","","","",1,"ชิ้น",,"",0.00
